,prefecture,year,night_light
593,鹿児島県,2020,0.8399999737739563
594,鹿児島県,2021,0.8949999809265137
595,鹿児島県,2022,0.8199999928474426
596,鹿児島県,2023,0.8849999904632568
597,鹿児島県,2024,0.8500000238418579
600,沖縄県,2014,34.22688293457031
601,沖縄県,2015,36.235618591308594
602,沖縄県,2016,37.41463088989258
603,沖縄県,2017,41.54496765136719
604,沖縄県,2018,42.71500015258789
605,沖縄県,2019,39.56999969482422
606,沖縄県,2020,42.26000213623047
607,沖縄県,2021,50.48999786376953
608,沖縄県,2022,42.375
609,沖縄県,2023,46.165000915527344
610,沖縄県,2024,44.63999938964844
